name,type,value,date
北京,,0,2020-01-22
天津,,4,2020-01-22
河北,,1,2020-01-22
山西,,1,2020-01-22
内蒙古,,0,2020-01-22
辽宁,,2,2020-01-22
吉林,,0,2020-01-22
黑龙江,,2,2020-01-22
上海,,16,2020-01-22
江苏,,1,2020-01-22
浙江,,0,2020-01-22
安徽,,2,2020-01-22
福建,,1,2020-01-22
江西,,3,2020-01-22
山东,,0,2020-01-22
河南,,0,2020-01-22
湖北,,444,2020-01-22
湖南,,4,2020-01-22
广东,,32,2020-01-22
广西,,5,2020-01-22
海南,,4,2020-01-22
重庆,,9,2020-01-22
四川,,5,2020-01-22
贵州,,2,2020-01-22
云南,,2,2020-01-22
西藏,,0,2020-01-22
陕西,,0,2020-01-22
甘肃,,0,2020-01-22
青海,,0,2020-01-22
宁夏,,1,2020-01-22
新疆,,0,2020-01-22
中国香港,,1,2020-01-22
中国澳门,,1,2020-01-22
中国台湾,,1,2020-01-22
北京,,26,2020-01-23
天津,,5,2020-01-23
河北,,2,2020-01-23
山西,,1,2020-01-23
内蒙古,,1,2020-01-23
辽宁,,4,2020-01-23
吉林,,3,2020-01-23
黑龙江,,4,2020-01-23
上海,,20,2020-01-23
江苏,,9,2020-01-23
浙江,,43,2020-01-23
安徽,,15,2020-01-23
福建,,9,2020-01-23
江西,,7,2020-01-23
山东,,0,2020-01-23
河南,,9,2020-01-23
湖北,,549,2020-01-23
湖南,,24,2020-01-23
广东,,53,2020-01-23
广西,,13,2020-01-23
海南,,5,2020-01-23
重庆,,27,2020-01-23
四川,,15,2020-01-23
贵州,,3,2020-01-23
云南,,2,2020-01-23
西藏,,0,2020-01-23
陕西,,3,2020-01-23
甘肃,,2,2020-01-23
青海,,0,2020-01-23
宁夏,,2,2020-01-23
新疆,,2,2020-01-23
中国香港,,2,2020-01-23
中国澳门,,2,2020-01-23
中国台湾,,1,2020-01-23
北京,,36,2020-01-24
天津,,8,2020-01-24
河北,,8,2020-01-24
山西,,6,2020-01-24
内蒙古,,2,2020-01-24
辽宁,,12,2020-01-24
吉林,,4,2020-01-24
黑龙江,,9,2020-01-24
上海,,33,2020-01-24
江苏,,18,2020-01-24
浙江,,62,2020-01-24
安徽,,39,2020-01-24
福建,,18,2020-01-24
江西,,18,2020-01-24
山东,,21,2020-01-24
