name,type,value,date
武汉,,45,2020-01-16
黄冈,,0,2020-01-16
孝感,,0,2020-01-16
荆门,,0,2020-01-16
咸宁,,0,2020-01-16
荆州,,0,2020-01-16
随州,,0,2020-01-16
襄阳,,0,2020-01-16
十堰,,0,2020-01-16
鄂州,,0,2020-01-16
黄石,,0,2020-01-16
宜昌,,0,2020-01-16
恩施州,,0,2020-01-16
仙桃,,0,2020-01-16
天门,,0,2020-01-16
潜江,,0,2020-01-16
神农架,,0,2020-01-16
武汉,,62,2020-01-17
黄冈,,0,2020-01-17
孝感,,0,2020-01-17
荆门,,0,2020-01-17
咸宁,,0,2020-01-17
荆州,,0,2020-01-17
随州,,0,2020-01-17
襄阳,,0,2020-01-17
十堰,,0,2020-01-17
鄂州,,0,2020-01-17
黄石,,0,2020-01-17
宜昌,,0,2020-01-17
恩施州,,0,2020-01-17
仙桃,,0,2020-01-17
天门,,0,2020-01-17
潜江,,0,2020-01-17
神农架,,0,2020-01-17
武汉,,121,2020-01-18
黄冈,,0,2020-01-18
孝感,,0,2020-01-18
荆门,,0,2020-01-18
咸宁,,0,2020-01-18
荆州,,0,2020-01-18
随州,,0,2020-01-18
襄阳,,0,2020-01-18
十堰,,0,2020-01-18
鄂州,,0,2020-01-18
黄石,,0,2020-01-18
宜昌,,0,2020-01-18
恩施州,,0,2020-01-18
仙桃,,0,2020-01-18
天门,,0,2020-01-18
潜江,,0,2020-01-18
神农架,,0,2020-01-18
武汉,,198,2020-01-19
黄冈,,0,2020-01-19
孝感,,0,2020-01-19
荆门,,0,2020-01-19
咸宁,,0,2020-01-19
荆州,,0,2020-01-19
随州,,0,2020-01-19
襄阳,,0,2020-01-19
十堰,,0,2020-01-19
鄂州,,0,2020-01-19
黄石,,0,2020-01-19
宜昌,,0,2020-01-19
恩施州,,0,2020-01-19
仙桃,,0,2020-01-19
天门,,0,2020-01-19
潜江,,0,2020-01-19
神农架,,0,2020-01-19
武汉,,258,2020-01-20
黄冈,,12,2020-01-20
孝感,,0,2020-01-20
荆门,,0,2020-01-20
咸宁,,0,2020-01-20
荆州,,0,2020-01-20
随州,,0,2020-01-20
襄阳,,0,2020-01-20
十堰,,0,2020-01-20
鄂州,,0,2020-01-20
黄石,,0,2020-01-20
宜昌,,0,2020-01-20
恩施州,,0,2020-01-20
仙桃,,0,2020-01-20
天门,,0,2020-01-20
潜江,,0,2020-01-20
神农架,,0,2020-01-20
武汉,,363,2020-01-21
黄冈,,12,2020-01-21
孝感,,0,2020-01-21
荆门,,0,2020-01-21
咸宁,,0,2020-01-21
荆州,,0,2020-01-21
随州,,0,2020-01-21
襄阳,,0,2020-01-21
十堰,,0,2020-01-21
鄂州,,0,2020-01-21
黄石,,0,2020-01-21
宜昌,,0,2020-01-21
恩施州,,0,2020-01-21
仙桃,,0,2020-01-21
天门,,0,2020-01-21
潜江,,0,2020-01-21
神农架,,0,2020-01-21
武汉,,425,2020-01-22
黄冈,,12,2020-01-22
孝感,,0,2020-01-22
荆门,,1,2020-01-22
咸宁,,0,2020-01-22
荆州,,6,2020-01-22
随州,,0,2020-01-22
襄阳,,0,2020-01-22
十堰,,0,2020-01-22
鄂州,,0,2020-01-22
黄石,,0,2020-01-22
宜昌,,0,2020-01-22
恩施州,,0,2020-01-22
仙桃,,0,2020-01-22
天门,,0,2020-01-22
潜江,,0,2020-01-22
神农架,,0,2020-01-22
武汉,,495,2020-01-23
黄冈,,12,2020-01-23
孝感,,22,2020-01-23
荆门,,8,2020-01-23
咸宁,,0,2020-01-23
荆州,,8,2020-01-23
随州,,0,2020-01-23
襄阳,,0,2020-01-23
十堰,,1,2020-01-23
鄂州,,0,2020-01-23
黄石,,0,2020-01-23
宜昌,,1,2020-01-23
恩施州,,0,2020-01-23
仙桃,,2,2020-01-23
天门,,0,2020-01-23
潜江,,0,2020-01-23
神农架,,0,2020-01-23
武汉,,572,2020-01-24
黄冈,,64,2020-01-24
孝感,,26,2020-01-24
荆门,,21,2020-01-24
咸宁,,0,2020-01-24
荆州,,10,2020-01-24
随州,,5,2020-01-24
襄阳,,0,2020-01-24
十堰,,5,2020-01-24
鄂州,,1,2020-01-24
黄石,,0,2020-01-24
宜昌,,1,2020-01-24
恩施州,,11,2020-01-24
仙桃,,10,2020-01-24
天门,,3,2020-01-24
潜江,,0,2020-01-24
神农架,,0,2020-01-24
武汉,,618,2020-01-25
黄冈,,122,2020-01-25
孝感,,55,2020-01-25
